Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Brand_Encoded
130.0,4.0,4,1400.0,5.0,32
50.0,4.0,4,1400.0,2.0,32
60.0,1.0,4,1400.0,5.0,32
80.0,1.0,4,1800.0,5.0,32
250.0,1.0,8,4600.0,5.0,32
80.0,4.0,4,2820.0,2.0,32
290.0,1.0,16,1500.0,8.0,1
210.0,1.0,8,1170.0,8.0,1
300.0,1.0,8,2060.0,5.0,1
130.0,1.0,4,1200.0,5.0,1
130.0,2.0,8,2110.0,8.0,1
120.0,2.0,8,2110.0,8.0,1
250.0,2.0,16,3300.0,13.0,1
200.0,2.0,16,3230.0,13.0,1
260.0,1.0,1,1820.0,13.0,1
510.0,2.0,16,2400.0,13.0,1
250.0,2.0,16,2300.0,13.0,1
320.0,2.0,16,2300.0,13.0,1
100.0,1.0,4,3910.0,2.0,1
220.0,1.0,8,5000.0,2.0,1
400.0,2.0,16,6600.0,5.0,1
130.0,1.0,8,3950.0,5.0,1
150.0,1.0,16,4000.0,5.0,1
240.0,2.0,16,4000.0,5.0,1
100.0,1.0,8,1750.0,8.0,1
210.0,1.0,8,2110.0,8.0,1
240.0,2.0,16,3950.0,5.0,1
240.0,2.0,16,3950.0,5.0,1
160.0,1.0,8,2060.0,5.0,1
200.0,1.0,8,5000.0,5.0,1
100.0,1.0,1,2500.0,8.0,1
80.0,2.0,8,2500.0,8.0,1
400.0,2.0,16,3000.0,13.0,1
160.0,1.0,8,3950.0,5.0,1
90.0,1.0,8,2100.0,5.0,1
220.0,2.0,8,3950.0,5.0,1
300.0,2.0,16,3000.0,13.0,1
250.0,2.0,16,3000.0,13.0,1
180.0,2.0,16,2500.0,8.0,1
280.0,2.0,16,3000.0,13.0,1
140.0,1.0,8,3450.0,5.0,1
280.0,1.0,8,4000.0,5.0,1
300.0,3.0,32,3030.0,13.0,1
110.0,1.0,8,2500.0,8.0,1
160.0,2.0,16,3500.0,8.0,1
210.0,2.0,8,2400.0,13.0,1
200.0,2.0,8,2040.0,8.0,1
220.0,2.0,16,3000.0,13.0,1
310.0,2.0,16,3000.0,13.0,1
200.0,4.0,64,5150.0,16.0,21
190.0,4.0,64,12500.0,13.0,21
240.0,8.0,128,8300.0,64.0,21
380.0,8.0,256,21000.0,64.0,21
140.0,4.0,32,6300.0,20.0,21
110.0,3.0,16,5150.0,13.0,21
110.0,4.0,64,5150.0,13.0,21
150.0,8.0,128,5150.0,20.0,21
160.0,8.0,256,5150.0,50.0,21
140.0,8.0,128,3050.0,48.0,21
190.0,12.0,256,5150.0,50.0,21
110.0,4.0,128,5150.0,13.0,21
470.0,12.0,256,9800.0,64.0,21
240.0,8.0,256,10000.0,48.0,21
80.0,2.0,16,2800.0,8.0,2
70.0,2.0,16,2800.0,8.0,2
250.0,6.0,64,6180.0,21.0,2
170.0,4.0,64,3180.0,13.0,2
100.0,2.0,16,4180.0,8.0,2
80.0,3.0,32,5580.0,13.0,2
340.0,6.0,128,6580.0,48.0,2
130.0,3.0,32,5580.0,8.0,2
130.0,4.0,64,4680.0,13.0,2
200.0,6.0,128,4380.0,16.0,2
150.0,4.0,64,6580.0,13.0,2
180.0,4.0,64,5580.0,16.0,2
380.0,8.0,258,5280.0,48.0,2
140.0,4.0,64,5580.0,13.0,2
260.0,6.0,128,4380.0,48.0,2
100.0,3.0,16,4780.0,8.0,2
220.0,8.0,128,6580.0,13.0,2
120.0,4.0,32,5380.0,13.0,2
350.0,8.0,128,8380.0,50.0,2
140.0,3.0,32,6580.0,13.0,2
130.0,4.0,64,4200.0,13.0,2
120.0,3.0,32,5380.0,13.0,2
260.0,8.0,128,4980.0,12.0,2
180.0,4.0,64,7480.0,13.0,2
180.0,6.0,128,4680.0,12.0,2
160.0,4.0,64,8580.0,16.0,2
170.0,4.0,64,7480.0,13.0,2
