Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
alcatel,250.0,1.0,8,4100.0,5.0
alcatel,60.0,,4,1400.0,5.0
alcatel,90.0,1.0,4,2000.0,5.0
alcatel,130.0,1.0,8,2000.0,5.0
alcatel,180.0,1.0,8,2000.0,5.0
alcatel,120.0,1.0,4,2000.0,5.0
alcatel,80.0,,4,1300.0,2.0
alcatel,130.0,,4,1400.0,5.0
alcatel,50.0,,4,1400.0,2.0
alcatel,60.0,1.0,4,1400.0,5.0
alcatel,80.0,1.0,4,1800.0,5.0
alcatel,250.0,1.0,8,4600.0,5.0
alcatel,80.0,,4,2820.0,2.0
Asus,290.0,1.0,16,1500.0,8.0
Asus,210.0,1.0,8,1170.0,8.0
Asus,300.0,1.0,8,2060.0,5.0
Asus,130.0,1.0,4,1200.0,5.0
Asus,130.0,2.0,8,2110.0,8.0
Asus,120.0,2.0,8,2110.0,8.0
Asus,250.0,2.0,16,3300.0,13.0
Asus,200.0,2.0,16,3230.0,13.0
Asus,260.0,1.0,1,1820.0,13.0
Asus,510.0,2.0,16,2400.0,13.0
Asus,250.0,2.0,16,2300.0,13.0
Asus,320.0,2.0,16,2300.0,13.0
Asus,100.0,1.0,4,3910.0,2.0
Asus,220.0,1.0,8,5000.0,2.0
Asus,400.0,2.0,16,6600.0,5.0
Asus,130.0,1.0,8,3950.0,5.0
Asus,150.0,1.0,16,4000.0,5.0
Asus,240.0,2.0,16,4000.0,5.0
Asus,100.0,1.0,8,1750.0,8.0
Asus,210.0,1.0,8,2110.0,8.0
Asus,240.0,2.0,16,3950.0,5.0
Asus,240.0,2.0,16,3950.0,5.0
Asus,160.0,1.0,8,2060.0,5.0
Asus,200.0,1.0,8,5000.0,5.0
Asus,100.0,1.0,1,2500.0,8.0
Asus,80.0,2.0,8,2500.0,8.0
Asus,400.0,2.0,16,3000.0,13.0
Asus,160.0,1.0,8,3950.0,5.0
Asus,90.0,1.0,8,2100.0,5.0
Asus,220.0,2.0,8,3950.0,5.0
Asus,300.0,2.0,16,3000.0,13.0
Asus,250.0,2.0,16,3000.0,13.0
Asus,180.0,2.0,16,2500.0,8.0
Asus,280.0,2.0,16,3000.0,13.0
Asus,140.0,1.0,8,3450.0,5.0
Asus,280.0,1.0,8,4000.0,5.0
Asus,300.0,3.0,32,3030.0,13.0
Asus,110.0,1.0,8,2500.0,8.0
Asus,160.0,2.0,16,3500.0,8.0
Asus,210.0,2.0,8,2400.0,13.0
Asus,200.0,2.0,8,2040.0,8.0
Asus,220.0,2.0,16,3000.0,13.0
Asus,310.0,2.0,16,3000.0,13.0
Oukitel,200.0,4.0,64,5150.0,16.0
Oukitel,190.0,4.0,64,12500.0,13.0
Oukitel,240.0,8.0,128,8300.0,64.0
Oukitel,380.0,8.0,256,21000.0,64.0
Oukitel,140.0,4.0,32,6300.0,20.0
Oukitel,110.0,3.0,16,5150.0,13.0
Oukitel,110.0,4.0,64,5150.0,13.0
Oukitel,150.0,8.0,128,5150.0,20.0
Oukitel,160.0,8.0,256,5150.0,50.0
Oukitel,140.0,8.0,128,3050.0,48.0
Oukitel,190.0,12.0,256,5150.0,50.0
Oukitel,110.0,4.0,128,5150.0,13.0
Oukitel,470.0,12.0,256,9800.0,64.0
Oukitel,240.0,8.0,256,10000.0,48.0
Blackview,80.0,2.0,16,2800.0,8.0
Blackview,70.0,2.0,16,2800.0,8.0
Blackview,250.0,6.0,64,6180.0,21.0
Blackview,170.0,4.0,64,3180.0,13.0
Blackview,100.0,2.0,16,4180.0,8.0
Blackview,80.0,3.0,32,5580.0,13.0
Blackview,340.0,6.0,128,6580.0,48.0
Blackview,130.0,3.0,32,5580.0,8.0
Blackview,130.0,4.0,64,4680.0,13.0
Blackview,200.0,6.0,128,4380.0,16.0
Blackview,150.0,4.0,64,6580.0,13.0
Blackview,180.0,4.0,64,5580.0,16.0
Blackview,380.0,8.0,258,5280.0,48.0
Blackview,140.0,4.0,64,5580.0,13.0
Blackview,260.0,6.0,128,4380.0,48.0
Blackview,100.0,3.0,16,4780.0,8.0
Blackview,220.0,8.0,128,6580.0,13.0
Blackview,120.0,4.0,32,5380.0,13.0
Blackview,350.0,8.0,128,8380.0,50.0
Blackview,140.0,3.0,32,6580.0,13.0
Blackview,130.0,4.0,64,4200.0,13.0
Blackview,120.0,3.0,32,5380.0,13.0
Blackview,260.0,8.0,128,4980.0,12.0
Blackview,180.0,4.0,64,7480.0,13.0
Blackview,180.0,6.0,128,4680.0,12.0
Blackview,160.0,4.0,64,8580.0,16.0
Blackview,170.0,4.0,64,7480.0,13.0
Blackview,150.0,4.0,64,4280.0,12.0
Blackview,120.0,3.0,32,5580.0,5.0
Blackview,210.0,8.0,128,6580.0,13.0
Blackview,120.0,2.0,32,5580.0,8.0
Blackview,150.0,4.0,32,8580.0,13.0
Blackview,260.0,4.0,64,8580.0,16.0
Blackview,190.0,8.0,128,4380.0,20.0
Blackview,120.0,3.0,64,4280.0,13.0
Blackview,130.0,4.0,64,4780.0,13.0
Blackview,480.0,8.0,128,8380.0,50.0
Blackview,300.0,8.0,128,8380.0,50.0
Blackview,160.0,4.0,64,6580.0,13.0
Blackview,140.0,3.0,32,6580.0,5.0
Blackview,220.0,6.0,128,13000.0,12.0
Doogee,300.0,8.0,128,8500.0,48.0
Doogee,140.0,4.0,64,5400.0,13.0
Doogee,230.0,8.0,128,8500.0,16.0
Doogee,190.0,6.0,128,6380.0,20.0
Doogee,120.0,3.0,16,4350.0,13.0
Doogee,350.0,8.0,128,8500.0,48.0
Doogee,90.0,2.0,16,4350.0,8.0
Doogee,130.0,2.0,32,5400.0,8.0
Doogee,440.0,8.0,256,6000.0,64.0
Doogee,130.0,3.0,64,4350.0,13.0
Doogee,350.0,8.0,256,6000.0,64.0
Doogee,470.0,8.0,256,6000.0,48.0
Doogee,120.0,4.0,64,4200.0,12.0
Doogee,170.0,6.0,64,5180.0,20.0
Doogee,190.0,6.0,128,5180.0,48.0
Doogee,350.0,8.0,128,8500.0,48.0
Doogee,100.0,3.0,16,4200.0,8.0
Doogee,370.0,8.0,256,12000.0,64.0
Doogee,280.0,8.0,128,12000.0,48.0
Doogee,340.0,8.0,256,6350.0,48.0
Doogee,140.0,8.0,128,8300.0,13.0
