Brand,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Price_Clean,Storage_Category
HP,1.0,16.0,3000.0,8.0,200.0,1
HP,1.0,8.0,2800.0,2.0,70.0,1
HP,1.0,16.0,3800.0,2.0,120.0,1
HP,2.0,16.0,5000.0,13.0,400.0,1
HP,1.0,16.0,4100.0,5.0,180.0,1
HP,1.0,16.0,3000.0,5.0,270.0,1
HP,1.0,16.0,5680.0,8.0,240.0,1
HP,1.0,16.0,7000.0,5.0,220.0,1
HP,1.0,16.0,4100.0,5.0,150.0,1
HP,1.0,8.0,4000.0,5.0,110.0,1
HP,1.0,32.0,6300.0,3.0,280.0,1
HTC,4.0,64.0,3000.0,12.0,750.0,2
HTC,3.0,32.0,4000.0,16.0,330.0,1
HTC,4.0,128.0,3000.0,12.0,750.0,3
HTC,4.0,32.0,2500.0,16.0,470.0,1
HTC,3.0,32.0,3200.0,16.0,570.0,1
HTC,2.0,16.0,2200.0,13.0,200.0,1
HTC,4.0,64.0,3000.0,20.0,460.0,2
HTC,3.0,32.0,2700.0,13.0,260.0,1
HTC,2.0,16.0,2300.0,13.0,350.0,1
HTC,3.0,32.0,2800.0,13.0,220.0,1
HTC,3.0,32.0,2200.0,13.0,200.0,1
HTC,2.0,16.0,2840.0,13.0,390.0,1
HTC,3.0,32.0,2800.0,13.0,280.0,1
HTC,2.0,16.0,2840.0,13.0,270.0,1
HTC,3.0,32.0,3000.0,12.0,420.0,1
HTC,4.0,64.0,3000.0,12.0,500.0,2
HTC,2.0,16.0,2700.0,13.0,240.0,1
HTC,2.0,16.0,2200.0,13.0,190.0,1
HTC,5.0,16.0,2200.0,8.0,170.0,1
HTC,5.0,8.0,2000.0,5.0,70.0,1
HTC,3.0,32.0,3000.0,13.0,300.0,1
HTC,2.0,16.0,2840.0,13.0,270.0,1
HTC,2.0,16.0,2800.0,13.0,250.0,1
HTC,2.0,16.0,2800.0,13.0,240.0,1
HTC,2.0,16.0,2600.0,13.0,310.0,1
HTC,3.0,32.0,2700.0,2.0,300.0,1
HTC,2.0,16.0,2150.0,13.0,300.0,1
HTC,3.0,32.0,2840.0,21.0,480.0,1
HTC,1.0,8.0,2000.0,8.0,190.0,1
HTC,5.0,8.0,2000.0,8.0,110.0,1
HTC,3.0,32.0,2840.0,20.0,340.0,1
HTC,1.0,16.0,2600.0,13.0,180.0,1
HTC,1.0,8.0,2000.0,8.0,130.0,1
HTC,3.0,32.0,2840.0,20.0,500.0,1
HTC,2.0,32.0,2840.0,13.0,330.0,1
HTC,3.0,32.0,2800.0,20.0,320.0,1
HTC,2.0,16.0,2800.0,13.0,320.0,1
HTC,3.0,32.0,2840.0,20.0,420.0,1
HTC,2.0,16.0,2600.0,13.0,370.0,1
